item_id,title,year,tag,score
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",2000.0,sword fight,0.95744336
7090,Hero (Ying xiong) (2002),2002.0,sword fight,0.95146275
3889,Highlander: Endgame (Highlander IV) (2000),2000.0,sword fight,0.9474658
6714,So Close (Chik Yeung Tin Sai) (2002),2002.0,sword fight,0.941903
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003.0,sword fight,0.9418454
7458,Troy (2004),2004.0,sword fight,0.93889666
27865,Azumi (2003),2003.0,sword fight,0.93836796
45722,Pirates of the Caribbean: Dead Man's Chest (2006),2006.0,sword fight,0.93340623
50005,Curse of the Golden Flower (Man cheng jin dai huang jin jia) (2006),2006.0,sword fight,0.92998075
86142,13 Assassins (Jûsan-nin no shikaku) (2010),2010.0,sword fight,0.92774916
5952,"Lord of the Rings: The Two Towers, The (2002)",2002.0,sword fight,0.9251882
7143,"Last Samurai, The (2003)",2003.0,sword fight,0.924456
8370,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",2003.0,sword fight,0.9229013
90403,"Three Musketeers, The (2011)",2011.0,sword fight,0.9074389
3578,Gladiator (2000),2000.0,sword fight,0.8964994000000001
51662,300 (2007),2007.0,sword fight,0.8698758
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",2001.0,sword fight,0.8543627
51939,TMNT (Teenage Mutant Ninja Turtles) (2007),2007.0,sword fight,0.84750795
7373,Hellboy (2004),2004.0,sword fight,0.84467244
77540,Solomon Kane (2009),2009.0,sword fight,0.83984256
4878,Donnie Darko (2001),2001.0,time loop,1.0347157
57504,"Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006)",2006.0,time loop,1.0330724
74228,Triangle (2009),2009.0,time loop,1.0263227
85414,Source Code (2011),2011.0,time loop,1.0247515
4226,Memento (2000),2000.0,time loop,1.0235709000000002
65642,"Timecrimes (Cronocrímenes, Los) (2007)",2007.0,time loop,1.0225916
49278,Déjà Vu (Deja Vu) (2006),2006.0,time loop,1.0034935
7254,The Butterfly Effect (2004),2004.0,time loop,1.0022922
5445,Minority Report (2002),2002.0,time loop,1.0017581
96610,Looper (2012),2012.0,time loop,0.9970815
5171,"Time Machine, The (2002)",2002.0,time loop,0.8949982
71106,Frequently Asked Questions About Time Travel (2009),2009.0,time loop,0.8815613000000001
8914,Primer (2004),2004.0,time loop,0.84338295
42422,Voices of a Distant Star (Hoshi no koe) (2003),2003.0,time loop,0.8017651
70521,Lost in Austen (2008),2008.0,time loop,0.7731996999999999
3515,Me Myself I (2000),2000.0,time loop,0.7231095000000001
6327,"Decade Under the Influence, A (2003)",2003.0,time loop,0.71077216
4738,Happy Accidents (2000),2000.0,time loop,0.70997584
60674,Stargate: Continuum (2008),2008.0,time loop,0.7003108
5264,Clockstoppers (2002),2002.0,time loop,0.69171
80839,Secretariat (2010),2010.0,racing,1.0099598
67923,"Fast & Furious (Fast and the Furious 4, The) (2009)",2009.0,racing,1.0052941
46970,Talladega Nights: The Ballad of Ricky Bobby (2006),2006.0,racing,1.0045344
46335,"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)",2006.0,racing,1.0023499
6565,Seabiscuit (2003),2003.0,racing,1.0010748
4728,Rat Race (2001),2001.0,racing,1.0003086
4369,"Fast and the Furious, The (2001)",2001.0,racing,0.9989712
6383,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",2003.0,racing,0.99637544
7324,Hidalgo (2004),2004.0,racing,0.994555
85774,Senna (2010),2010.0,racing,0.9901335
6057,Biker Boyz (2003),2003.0,racing,0.98765767
33830,Herbie: Fully Loaded (2005),2005.0,racing,0.9872534
87876,Cars 2 (2011),2011.0,racing,0.9862461
31223,Racing Stripes (2005),2005.0,racing,0.98579717
104913,Rush (2013),2013.0,racing,0.9851574
59037,Speed Racer (2008),2008.0,racing,0.9814793
45517,Cars (2006),2006.0,racing,0.9809607
97913,Wreck-It Ralph (2012),2012.0,racing,0.97926116
39307,Dreamer: Inspired by a True Story (2005),2005.0,racing,0.9541745
61248,Death Race (2008),2008.0,racing,0.9339304
3899,Circus (2000),2000.0,gangster,1.0189093
3301,"Whole Nine Yards, The (2000)",2000.0,gangster,1.0148245
5423,Gangster No. 1 (2000),2000.0,gangster,1.0133864
5900,Analyze That (2002),2002.0,gangster,1.0130159
50794,Smokin' Aces (2006),2006.0,gangster,1.0125371
40959,"Ice Harvest, The (2005)",2005.0,gangster,1.0123264
3896,"Way of the Gun, The (2000)",2000.0,gangster,1.0120721
7201,Crime Spree (2003),2003.0,gangster,1.0109423
97860,Killing Them Softly (2012),2012.0,gangster,1.0080738
4452,Made (2001),2001.0,gangster,1.0038625
40574,Get Rich or Die Tryin' (2005),2005.0,gangster,1.0035477
55272,We Own the Night (2007),2007.0,gangster,1.0021424
44197,Find Me Guilty (2006),2006.0,gangster,1.000789
82093,London Boulevard (2010),2010.0,gangster,1.0004764000000002
73344,"Prophet, A (Un Prophète) (2009)",2009.0,gangster,1.0004319
4378,Sexy Beast (2000),2000.0,gangster,1.0003773
6300,Flickering Lights (Blinkende lygter) (2000),2000.0,gangster,1.0000709
44665,Lucky Number Slevin (2006),2006.0,gangster,0.99940336
55118,Eastern Promises (2007),2007.0,gangster,0.99917996
58078,"Air I Breathe, The (2007)",2007.0,gangster,0.9987191
5094,Rollerball (2002),2002.0,sports,1.0183997
71518,Whip It (2009),2009.0,sports,1.0159926
72733,Invictus (2009),2009.0,sports,1.0141565
8866,Wimbledon (2004),2004.0,sports,1.0053184000000002
85774,Senna (2010),2010.0,sports,1.0046648
34153,Murderball (2005),2005.0,sports,1.0033526
89492,Moneyball (2011),2011.0,sports,1.0017234
5829,Men with Brooms (2002),2002.0,sports,0.9970243
37739,"Greatest Game Ever Played, The (2005)",2005.0,sports,0.9961195
104913,Rush (2013),2013.0,sports,0.9958054
42730,Glory Road (2006),2006.0,sports,0.9939443
38388,Goal! The Dream Begins (Goal!) (2005),2005.0,sports,0.9938867
93443,Goon (2011),2011.0,sports,0.9935925
67223,Sugar (2008),2008.0,sports,0.99260974
101895,42 (2013),2013.0,sports,0.9925331
31225,Coach Carter (2005),2005.0,sports,0.9920994
7263,Miracle (2004),2004.0,sports,0.9920144
49793,We Are Marshall (2006),2006.0,sports,0.9915495
32302,"League of Ordinary Gentlemen, A (2004)",2004.0,sports,0.99136806
3916,Remember the Titans (2000),2000.0,sports,0.9912678
59594,"War, Inc. (2008)",2008.0,dystopia,1.0140066
48774,Children of Men (2006),2006.0,dystopia,1.00546
5903,Equilibrium (2002),2002.0,dystopia,1.0031374
103253,Elysium (2013),2013.0,dystopia,1.0025159
103075,"Purge, The (2013)",2013.0,dystopia,1.0024825000000002
73268,Daybreakers (2010),2010.0,dystopia,1.0023491
37386,Aeon Flux (2005),2005.0,dystopia,1.0000907
43928,Ultraviolet (2006),2006.0,dystopia,0.9999367
90405,In Time (2011),2011.0,dystopia,0.99912286
61350,Babylon A.D. (2008),2008.0,dystopia,0.99877524
86835,Priest (2011),2011.0,dystopia,0.9987143
27905,Casshern (2004),2004.0,dystopia,0.99797547
95875,Total Recall (2012),2012.0,dystopia,0.9971545
91500,The Hunger Games (2012),2012.0,dystopia,0.99670815
44191,V for Vendetta (2006),2006.0,dystopia,0.9965446
96737,Dredd (2012),2012.0,dystopia,0.9964328
47997,Idiocracy (2006),2006.0,dystopia,0.99629104
106487,The Hunger Games: Catching Fire (2013),2013.0,dystopia,0.9962373
63072,"Road, The (2009)",2009.0,dystopia,0.9959905
71254,Gamer (2009),2009.0,dystopia,0.9958354
38992,Two for the Money (2005),2005.0,gambling,0.9384396
6279,"Good Thief, The (2002)",2002.0,gambling,0.93562365
6337,Owning Mahowny (2003),2003.0,gambling,0.9304992
5949,Intact (Intacto) (2001),2001.0,gambling,0.8880553
52724,Lucky You (2007),2007.0,gambling,0.87341607
7137,"Cooler, The (2003)",2003.0,gambling,0.81280196
70846,Lorna's Silence (Le silence de Lorna) (2008),2008.0,gambling,0.8080472
7383,Shade (2003),2003.0,gambling,0.8047074000000001
82244,13 (2010),2010.0,gambling,0.784724
3298,Boiler Room (2000),2000.0,gambling,0.7767470000000001
58803,21 (2008),2008.0,gambling,0.763095
5424,Harvard Man (2001),2001.0,gambling,0.74156785
57147,Cassandra's Dream (2007),2007.0,gambling,0.741071
97860,Killing Them Softly (2012),2012.0,gambling,0.7290729
99728,Gangster Squad (2013),2013.0,gambling,0.69279003
76060,"Slammin' Salmon, The (2009)",2009.0,gambling,0.67110074
4011,Snatch (2000),2000.0,gambling,0.67080414
86628,Kill the Irishman (2011),2011.0,gambling,0.6690687
8862,Criminal (2004),2004.0,gambling,0.6676302
87785,Takers (2010),2010.0,gambling,0.6621052
60069,WALL·E (2008),2008.0,space,1.0177524
55176,In the Shadow of the Moon (2007),2007.0,space,1.0130277
68237,Moon (2009),2009.0,space,1.0088191
92192,Apollo 18 (2011),2011.0,space,1.0076796
5378,Star Wars: Episode II - Attack of the Clones (2002),2002.0,space,1.0068586
85736,BURN-E (2008),2008.0,space,1.0049742
33493,Star Wars: Episode III - Revenge of the Sith (2005),2005.0,space,1.0041456
33004,"Hitchhiker's Guide to the Galaxy, The (2005)",2005.0,space,1.0037324
63433,Farscape: The Peacekeeper Wars (2004),2004.0,space,1.0023620999999998
61160,Star Wars: The Clone Wars (2008),2008.0,space,1.0023584
65982,Outlander (2008),2008.0,space,1.0017204
3300,Pitch Black (2000),2000.0,space,1.0016018
59392,Stargate: The Ark of Truth (2008),2008.0,space,1.0012144
27611,Battlestar Galactica (2003),2003.0,space,1.0011959
94864,Prometheus (2012),2012.0,space,1.001151
62836,Babylon 5: The Lost Tales - Voices in the Dark (2007),2007.0,space,1.0011466
104243,Riddick (2013),2013.0,space,1.000964
106002,Ender's Game (2013),2013.0,space,0.9995632
72308,Battlestar Galactica: The Plan (2009),2009.0,space,0.99935794
68358,Star Trek (2009),2009.0,space,0.9993453
31410,"Downfall (Untergang, Der) (2004)",2004.0,nazi,0.8713799999999999
27410,Conspiracy (2001),2001.0,nazi,0.8713323000000001
58303,"Counterfeiters, The (Die Fälscher) (2007)",2007.0,nazi,0.8677056999999999
27816,Saints and Soldiers (2003),2003.0,nazi,0.866758
5379,"Believer, The (2001)",2001.0,nazi,0.8594120999999999
5995,"Pianist, The (2002)",2002.0,nazi,0.8528863000000001
68157,Inglourious Basterds (2009),2009.0,nazi,0.84285784
73759,Hellsing Ultimate OVA Series (2006),2006.0,nazi,0.82280993
64034,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)",2008.0,nazi,0.8139857
32025,Walk on Water (2004),2004.0,nazi,0.8017279
93805,Iron Sky (2012),2012.0,nazi,0.79615474
92234,Red Tails (2012),2012.0,nazi,0.77388585
33124,Before the Fall (NaPolA - Elite für den Führer) (2004),2004.0,nazi,0.7612753999999999
5425,Dark Blue World (Tmavomodrý svet) (2001),2001.0,nazi,0.74996173
5615,Invincible (2001),2001.0,nazi,0.7307680999999999
52042,Black Book (Zwartboek) (2006),2006.0,nazi,0.6504638
50064,"Good German, The (2006)",2006.0,nazi,0.64036417
5011,Charlotte Gray (2001),2001.0,nazi,0.6154145000000001
5107,Hart's War (2002),2002.0,nazi,0.6103637
4223,Enemy at the Gates (2001),2001.0,nazi,0.60990596
7163,Paycheck (2003),2003.0,future,1.0344006
8939,"Final Cut, The (2004)",2004.0,future,1.029628
5903,Equilibrium (2002),2002.0,future,1.0243924
67197,Knowing (2009),2009.0,future,1.0242516
39052,Star Wreck: In the Pirkinning (2005),2005.0,future,1.0190328000000002
75985,Repo Men (2010),2010.0,future,1.0185193
68791,Terminator Salvation (2009),2009.0,future,1.016843
8134,Wonderful Days (a.k.a. Sky Blue) (2003),2003.0,future,1.0165265
47997,Idiocracy (2006),2006.0,future,1.0156261999999998
6537,Terminator 3: Rise of the Machines (2003),2003.0,future,1.0155383
103253,Elysium (2013),2013.0,future,1.0149667
8800,Code 46 (2003),2003.0,future,1.0142393
5944,Star Trek: Nemesis (2002),2002.0,future,1.0141972
94864,Prometheus (2012),2012.0,future,1.0139136
90249,Real Steel (2011),2011.0,future,1.0138882
84954,"Adjustment Bureau, The (2011)",2011.0,future,1.0138271
4370,A.I. Artificial Intelligence (2001),2001.0,future,1.0130469000000002
68358,Star Trek (2009),2009.0,future,1.0128365
27728,Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004),2004.0,future,1.0127802
6934,"Matrix Revolutions, The (2003)",2003.0,future,1.0127598
89388,I Don't Know How She Does It (2011),2011.0,relationships,1.029844
80551,Eat Pray Love (2010),2010.0,relationships,1.0242959
45501,"Break-Up, The (2006)",2006.0,relationships,1.0162019
8966,Kinsey (2004),2004.0,relationships,1.0151228
97870,"Sessions, The (Surrogate, The) (2012)",2012.0,relationships,1.0129634
31956,5x2 (2004),2004.0,relationships,1.0128042
41573,"Family Stone, The (2005)",2005.0,relationships,1.0123966999999998
6770,My Life Without Me (2003),2003.0,relationships,1.0117134
105213,Don Jon (2013),2013.0,relationships,1.0110405999999998
58492,Snow Angels (2007),2007.0,relationships,1.0105187
91079,Like Crazy (2011),2011.0,relationships,1.0105094
48744,Shortbus (2006),2006.0,relationships,1.0101179
5477,Sex and Lucia (Lucía y el sexo) (2001),2001.0,relationships,1.0099216999999998
87304,Beginners (2010),2010.0,relationships,1.0097069
5222,Kissing Jessica Stein (2001),2001.0,relationships,1.0096864
44864,Friends with Money (2006),2006.0,relationships,1.0090101
78039,Blue Valentine (2010),2010.0,relationships,1.008694
72720,"Single Man, A (2009)",2009.0,relationships,1.0083529
62344,Rachel Getting Married (2008),2008.0,relationships,1.0083253
80241,Going the Distance (2010),2010.0,relationships,1.0081857
6537,Terminator 3: Rise of the Machines (2003),2003.0,end of the world,1.0300261
53000,28 Weeks Later (2007),2007.0,end of the world,1.024814
7360,Dawn of the Dead (2004),2004.0,end of the world,1.0244198
64497,"Day the Earth Stood Still, The (2008)",2008.0,end of the world,1.0230429
67197,Knowing (2009),2009.0,end of the world,1.0186859
8361,"Day After Tomorrow, The (2004)",2004.0,end of the world,1.0165789
